Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	0.17809591100000002	3.390418452	1340.5	2899.9	NOCA
2	Spectrogram 1	1	0.923460279	2.308650697	1723.5	4048.9	WOTH
3	Spectrogram 1	1	3.133168803	5.079031533	2217.0	4814.9	EATO
4	Spectrogram 1	1	5.050864985	6.686708908	1449.9	5608.3	WOTH
5	Spectrogram 1	1	5.67590088	7.0579205589999985	2933.4	3988.1	BCCH
6	Spectrogram 1	1	6.416266969	8.870032853	1231.1	2867.5	NOCA
7	Spectrogram 1	1	7.775072807999999	9.569224206	3255.5	4842.2	EATO
8	Spectrogram 1	1	7.829697782	8.404043623	3296.0	3922.2	BCCH
9	Spectrogram 1	1	7.972957152999999	9.41091673	1614.1	3665.9	WOTH
10	Spectrogram 1	1	10.000693305	11.926767601	2708.4	4213.0	BCCH
11	Spectrogram 1	1	10.244750665	12.381901595999999	1586.7	3036.7	NOCA
12	Spectrogram 1	1	12.309344002000001	13.338342599	1860.3	6073.3	WOTH
13	Spectrogram 1	1	13.191445301	14.457905112	1778.2	2708.4	TUTI
14	Spectrogram 1	1	13.310175908	14.708558616	2340.1	4760.2	EATO
15	Spectrogram 1	1	14.068732566	17.017209313	2735.7	8234.6	OVEN
16	Spectrogram 1	1	14.708558616	15.533076722	1367.9	2817.8	NOCA
17	Spectrogram 1	1	15.482016462999999	18.476666224000002	1340.5	2352.7	NOCA
18	Spectrogram 1	1	15.529995706	16.235962468	1723.5	5188.2	WOTH
19	Spectrogram 1	1	16.555479173	17.663631507999998	1887.7	2790.4	TUTI
20	Spectrogram 1	1	18.227023504	20.11352093	3036.7	4732.8	EATO
21	Spectrogram 1	1	18.504061587	19.796905977999998	1313.2	3392.3	WOTH
22	Spectrogram 1	1	19.381348852000002	20.581847215	2872.5	3857.4	BCCH
23	Spectrogram 1	1	19.737540674	20.839096864000002	1750.9	2735.7	TUTI
24	Spectrogram 1	1	21.563589088	23.720528453000004	1285.8	2188.6	NOCA
25	Spectrogram 1	1	21.880204041	22.909202636999996	1367.9	5334.7	WOTH
26	Spectrogram 1	1	23.213098827	23.292648334000006	3055.8	4014.5	EATO
27	Spectrogram 1	1	23.849658598	25.406348782	2133.9	4678.1	EATO
28	Spectrogram 1	1	24.00136993	25.122714554	2927.2	3966.8	BCCH
29	Spectrogram 1	1	25.29421432	26.375982075	1750.9	4131.0	WOTH
30	Spectrogram 1	1	25.801033764	29.158471491999997	1367.9	3009.3	NOCA
31	Spectrogram 1	1	27.984357709	28.426299414000002	2845.2	4076.2	EATO
32	Spectrogram 1	1	28.591515559	30.108628874	1887.7	4131.0	WOTH
33	Spectrogram 1	1	28.730034601	30.108628874	2899.9	3966.8	BCCH
34	Spectrogram 1	1	28.993880395	30.570359014	2927.2	4705.5	EATO
35	Spectrogram 1	1	31.848229145999998	33.18724655	1614.1	3966.8	WOTH
36	Spectrogram 1	1	32.837650873	35.218859163000005	1231.1	2243.3	NOCA
37	Spectrogram 1	1	32.98276606	33.345554027	2981.9	4131.0	EATO
38	Spectrogram 1	1	33.451092344	34.651590707	2899.9	4103.6	BCCH
39	Spectrogram 1	1	34.150283698	35.535474115999996	2340.1	4705.5	EATO
40	Spectrogram 1	1	35.282340526999995	36.430069730999996	1750.9	2598.9	TUTI
41	Spectrogram 1	1	35.948551157	37.069895781	1203.7	5471.5	WOTH
42	Spectrogram 1	1	36.87860758	41.067159559000004	1477.3	2899.9	NOCA
43	Spectrogram 1	1	38.013144494	38.296778723	2981.9	4076.2	EATO
44	Spectrogram 1	1	38.132885885	39.372961116	2954.6	4103.6	BCCH
45	Spectrogram 1	1	38.330979459	39.461722832	1911.7	2570.9	TUTI
46	Spectrogram 1	1	39.029961584	40.586651769	1285.8	3830.0	WOTH
47	Spectrogram 1	1	39.339980392	42.27526485	2462.2	8125.1	OVEN
48	Spectrogram 1	1	41.970060218	43.051827973	1313.2	3720.6	WOTH
49	Spectrogram 1	1	43.309077622	43.533346547	2954.6	4021.5	EATO
50	Spectrogram 1	1	43.408019795	44.588729723	2927.2	3966.8	BCCH
51	Spectrogram 1	1	43.713849475	47.348325286000005	1258.4	2161.2	NOCA
52	Spectrogram 1	1	44.696675057	45.785038957	3091.4	4103.6	BCCH
53	Spectrogram 1	1	45.0264823	45.989519448	1668.8	4760.2	WOTH
54	Spectrogram 1	1	45.930154144	47.467055894	2079.2	5170.5	EATO
55	Spectrogram 1	1	47.599291315	48.812981967	2899.9	4021.5	BCCH
56	Spectrogram 1	1	48.008252295	48.285290378999996	2790.4	4158.3	EATO
57	Spectrogram 1	1	49.058748226000006	50.147112126	3009.3	3966.8	BCCH
58	Spectrogram 1	1	49.210459558000004	50.21966972	1121.7	3720.6	WOTH
59	Spectrogram 1	1	49.78432416	52.983454411000004	1258.4	2434.8	NOCA
60	Spectrogram 1	1	50.971630233	52.409589808999996	2373.1	4787.5	EATO
61	Spectrogram 1	1	52.046801843000004	53.194531046	2872.5	3884.7	BCCH
62	Spectrogram 1	1	53.06532783300001	54.318595353999996	1367.9	5635.6	WOTH
63	Spectrogram 1	1	54.08113414	55.242055633	1860.3	2681.0	TUTI
64	Spectrogram 1	1	56.07627516	57.151446771	1723.5	4842.2	WOTH
65	Spectrogram 1	1	56.445659272	57.824253545	3173.4	4705.5	EATO
66	Spectrogram 1	1	56.577582168999996	58.991771183000004	1258.4	2380.1	NOCA
67	Spectrogram 1	1	58.583122726999996	58.853564666000004	2899.9	4103.6	EATO
68	Spectrogram 1	1	59.19237507	60.260950535	1860.3	2544.2	TUTI
69	Spectrogram 1	1	59.203160343	60.61473534	1313.2	6210.1	WOTH
70	Spectrogram 1	1	60.465431025	61.745083126000004	2598.9	6511.0	OVEN
71	Spectrogram 1	1	61.659333243	63.308369455	2161.2	4787.5	EATO
72	Spectrogram 1	1	62.000740151	63.125500755	2999.3	3856.3	BCCH
73	Spectrogram 1	1	62.686549871000004	65.430546128	1449.9	2270.7	NOCA
74	Spectrogram 1	1	63.08410053	64.126291416	1559.4	4267.7	WOTH
75	Spectrogram 1	1	65.874196733	67.31215631	2954.6	4267.7	BCCH
76	Spectrogram 1	1	66.36231145100001	68.78969275600001	957.5	4134.4	NOCA
77	Spectrogram 1	1	67.773886449	69.304192054	2380.1	4842.2	EATO
78	Spectrogram 1	1	70.286944711	71.513827653	3118.7	4295.1	BCCH
